Gene Group 1	Enrichment Score: 12.947712657866255
Faim3	Fas apoptotic inhibitory molecule 3
Slco3a1	solute carrier organic anion transporter family, member 3a1
Gja3	gap junction protein, alpha 3
Vezt	vezatin, adherens junctions transmembrane protein
Clec2l	C-type lectin domain family 2, member L
RGD1311946	similar to RIKEN cDNA 1810055G02
Slc20a2	solute carrier family 20 (phosphate transporter), member 2
Adra1d	adrenergic, alpha-1D-, receptor
Tmem177	transmembrane protein 177
Gpr157	G protein-coupled receptor 157
Slc22a23	solute carrier family 22, member 23
Fzd1	frizzled homolog 1 (Drosophila)
Tmem14c	transmembrane protein 14C
Chrm2	cholinergic receptor, muscarinic 2
Gypc	glycophorin C (Gerbich blood group)
Cdh20	cadherin 20
Mpeg1	macrophage expressed gene 1
Tmem50b	transmembrane protein 50B
Mtch2	mitochondrial carrier homolog 2 (C. elegans)
S1pr2	sphingosine-1-phosphate receptor 2
Myadm	myeloid-associated differentiation marker
Yipf3	Yip1 domain family, member 3
Fzd5	frizzled homolog 5 (Drosophila)
Tm2d2	TM2 domain containing 2
Slc16a1	solute carrier family 16, member 1 (monocarboxylic acid transporter 1)
Nup210	nucleoporin 210
Ankh	ankylosis, progressive homolog (mouse)
Ppapdc3	phosphatidic acid phosphatase type 2 domain containing 3
Tmem109	transmembrane protein 109
Pxmp2	peroxisomal membrane protein 2
Syngr2	synaptogyrin 2
Myadml2	myeloid-associated differentiation marker-like 2
Sctr	secretin receptor
Tmem135	transmembrane protein 135
Sstr4	somatostatin receptor 4
Higd1a	HIG1 hypoxia inducible domain family, member 1A
Cd99l2	CD99 molecule-like 2
C3ar1	complement component 3a receptor 1
Rpn2	ribophorin II
Dnajc16	DnaJ (Hsp40) homolog, subfamily C, member 16
Slc4a1	solute carrier family 4 (anion exchanger), member 1
Ntsr2	neurotensin receptor 2
Ormdl3	ORM1-like 3 (S. cerevisiae)
Slc41a3	solute carrier family 41, member 3
Tmem199	transmembrane protein 199
Parm1	castration induced prostatic apoptosis-related protein 1
Aplnr	apelin receptor
Tmem41b	transmembrane protein 41B
Tspan3	tetraspanin 3
Tmem218	transmembrane protein 218

Gene Group 43	Enrichment Score: 0.008066890187141289
OFFICIAL_GENE_SYMBOL	Gene Name
Olfml1	olfactomedin-like 1
Metrnl	meteorin, glial cell differentiation regulator-like
Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein
Stc2	stanniocalcin 2
Epdr1	ependymin related protein 1 (zebrafish)
Pcolce	procollagen C-endopeptidase enhancer
Clec11a	C-type lectin domain family 11, member a
Fndc1	fibronectin type III domain containing 1
Prss23	protease, serine, 23
Cdnf	arginine-rich, mutated in early stage tumors-like 1

